# Russian Federation rank insignia — shoulder boards, everyday uniform.
# Ground Forces / Aerospace Forces use the Army ladder (2010 pattern).
# NATO OR/OF codes in the filenames map to the Russian ladder; OR-3 and OR-6
# are unused in Russian service.
rank-ryadovoy	File:Russia-Army-OR-1-2010.svg	512
rank-yefreytor	File:Russia-Army-OR-2-2010.svg	512
rank-mladshiy-serzhant	File:Russia-Army-OR-4-2010.svg	512
rank-serzhant	File:Russia-Army-OR-5-2010.svg	512
rank-starshiy-serzhant	File:Russia-Army-OR-7-2010.svg	512
rank-starshina	File:Russia-Army-OR-8-2010.svg	512
rank-praporshchik	File:Russia-Army-OR-9a-2010.svg	512
rank-starshiy-praporshchik	File:Russia-Army-OR-9b-2010.svg	512
rank-mladshiy-leytenant	File:Russia-Army-OF-1a-2010.svg	512
rank-leytenant	File:Russia-Army-OF-1b-2010.svg	512
rank-starshiy-leytenant	File:Russia-Army-OF-1c-2010.svg	512
rank-kapitan	File:Russia-Army-OF-2-2010.svg	512
rank-mayor	File:Russia-Army-OF-3-2010.svg	512
rank-podpolkovnik	File:Russia-Army-OF-4-2010.svg	512
rank-polkovnik	File:Russia-Army-OF-5-2010.svg	512
rank-general-mayor	File:Russia-Army-OF-6-2010.svg	512
rank-general-leytenant	File:Russia-Army-OF-7-2010.svg	512
rank-general-polkovnik	File:Russia-Army-OF-8-2010.svg	512
# Navy. Officer boards are the 2010 pattern; the enlisted and michman boards
# are only published on Commons in the 1994 pattern, which those ranks still
# closely follow.
rank-navy-matros	File:Russia-Navy-OR-1-1994-everyday.svg	512
rank-navy-starshina-2-stati	File:Russia-Navy-OR-4-1994-everyday.svg	512
rank-navy-michman	File:Russia-Navy-OR-9a-1994-everyday.svg	512
rank-navy-kapitan-leytenant	File:Russia-Navy-OF-2-2010.svg	512
rank-navy-kapitan-3-ranga	File:Russia-Navy-OF-3-2010.svg	512
rank-navy-kapitan-2-ranga	File:Russia-Navy-OF-4-2010.svg	512
rank-navy-kapitan-1-ranga	File:Russia-Navy-OF-5-2010.svg	512
rank-navy-kontr-admiral	File:Russia-Navy-OF-6-2010.svg	512
rank-navy-vitse-admiral	File:Russia-Navy-OF-7-2010.svg	512
rank-navy-admiral	File:Russia-Navy-OF-8-2010.svg	512
